['Mercedes-Benz', 'C-Class', 'C63', 1149950, 2017, 180]
['Mercedes-Benz', 'C-Class', 'C63', 1100000, 2015, 29779]
['Mercedes-Benz', 'C-Class', 'C63', 979950, 2015, 8000]
['Mercedes-Benz', 'C-Class', 'C63', 925000, 2016, 39000]
['Mercedes-Benz', 'C-Class', 'C220d', 919900, 2015, 15800]
['Mercedes-Benz', 'C-Class', 'C200', 910000, 2018, 29]
['Mercedes-Benz', 'C-Class', 'C63', 899990, 2018, 1500]
['Mercedes-Benz', 'C-Class', 'C63', 899950, 2014, 22000]
['Mercedes-Benz', 'C-Class', 'C63', 899900, 2015, 19733]
['Mercedes-Benz', 'C-Class', 'C220d', 889000, 2014, 12960]
['Mercedes-Benz', 'C-Class', 'C220d', 880000, 2017, 1950]
['Mercedes-Benz', 'C-Class', 'C200', 879000, 2017, 6294]
['Mercedes-Benz', 'C-Class', 'C300', 849950, 2017, 5500]
['Mercedes-Benz', 'C-Class', 'C200', 839900, 2017, 9150]
['Mercedes-Benz', 'C-Class', 'C200', 835832, 2018, 100]
['Mercedes-Benz', 'C-Class', 'C200', 799995, 2018, 0]
['Mercedes-Benz', 'C-Class', 'C63', 799995, 2017, 9000]
['Mercedes-Benz', 'C-Class', 'C200', 799995, 2014, 47000]
['Mercedes-Benz', 'C-Class', 'C300', 799950, 2016, 27348]
['Mercedes-Benz', 'C-Class', 'C300', 799900, 2017, 10900]
['Mercedes-Benz', 'C-Class', 'C300', 799900, 2017, 16500]
['Mercedes-Benz', 'C-Class', 'C220d', 798500, 2017, 3600]
['Mercedes-Benz', 'C-Class', 'C200', 790000, 2016, 5000]
['Mercedes-Benz', 'C-Class', 'C220d', 774713, 2016, 1500]
['Mercedes-Benz', 'C-Class', 'C300', 769900, 2018, 50]
['Mercedes-Benz', 'C-Class', 'C200', 759995, 2017, 2000]
['Mercedes-Benz', 'C-Class', 'C200', 759995, -1, -1]
['Mercedes-Benz', 'C-Class', 'C220d', 759900, 2018, 100]
['Mercedes-Benz', 'C-Class', 'C200', 759000, 2018, 100]
['Mercedes-Benz', 'C-Class', 'C63', 749990, 2017, 10001]
['Mercedes-Benz', 'C-Class', 'C250d', 749950, 2017, 5500]
['Mercedes-Benz', 'C-Class', 'C300', 749950, 2014, 77000]
['Mercedes-Benz', 'C-Class', 'C220d', 749950, 2017, 6500]
['Mercedes-Benz', 'C-Class', 'C300', 749900, 2017, 2100]
['Mercedes-Benz', 'C-Class', 'C200', 739900, 2017, 4000]
['Mercedes-Benz', 'C-Class', 'C220d', 738754, 2017, 6900]
['Mercedes-Benz', 'C-Class', 'C200', 729950, 2017, 1500]
['Mercedes-Benz', 'C-Class', 'C220d', 729900, 2018, 0]
['Mercedes-Benz', 'C-Class', 'C300', 719999, 2017, 11620]
['Mercedes-Benz', 'C-Class', 'C200', 719950, 2017, 900]
['Mercedes-Benz', 'C-Class', 'C220d', 709900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 703388, 2017, 15000]
['Mercedes-Benz', 'C-Class', 'C63', 699995, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 699990, 2016, 1500]
['Mercedes-Benz', 'C-Class', 'C200', 699950, 2018, 19]
['Mercedes-Benz', 'C-Class', 'C300', 699950, 2014, 45500]
['Mercedes-Benz', 'C-Class', 'C300', 699950, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 699900, 2017, 2700]
['Mercedes-Benz', 'C-Class', 'C350e', 699900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C220d', 699900, 2018, 1500]
['Mercedes-Benz', 'C-Class', 'C300', 699900, 2016, 7000]
['Mercedes-Benz', 'C-Class', 'C220d', 699900, 2017, 5850]
['Mercedes-Benz', 'C-Class', 'C200', 697063, 2017, 7500]
['Mercedes-Benz', 'C-Class', 'C250', 694995, 2017, 4300]
['Mercedes-Benz', 'C-Class', 'C200', 694322, 2017, 100]
['Mercedes-Benz', 'C-Class', 'C220d', 689900, 2018, 4000]
['Mercedes-Benz', 'C-Class', 'C200', 689900, 2017, 3000]
['Mercedes-Benz', 'C-Class', 'C180', 205000, 2010, 106000]
['Mercedes-Benz', 'C-Class', 'C220d', 589900, 2017, 17000]
['Mercedes-Benz', 'C-Class', 'C200', 589900, -1, -1]
['Mercedes-Benz', 'C-Class', 'C200', 589000, 2017, 5000]
['Mercedes-Benz', 'C-Class', 'C220d', 589000, 2017, 15575]
['Mercedes-Benz', 'C-Class', 'C200', 589000, 2017, 5000]
['Mercedes-Benz', 'C-Class', 'C200', 589000, 2017, 10500]
['Mercedes-Benz', 'C-Class', 'C200', 589000, -1, -1]
['Mercedes-Benz', 'C-Class', 'C220d', 589000, 2017, 1300]
['Mercedes-Benz', 'C-Class', 'C180', 589000, 2017, 6807]
['Mercedes-Benz', 'C-Class', 'C200', 589000, 2016, 11000]
['Mercedes-Benz', 'C-Class', 'C180', 585950, 2017, 1500]
['Mercedes-Benz', 'C-Class', 'C180', 585000, 2017, 9000]
['Mercedes-Benz', 'C-Class', 'C180', 585000, 2018, 1500]
['Mercedes-Benz', 'C-Class', 'C220d', 583000, 2018, 4500]
['Mercedes-Benz', 'C-Class', 'C180', 580061, 2018, 5000]
['Mercedes-Benz', 'C-Class', 'C220d', 580000, 2017, 8000]
['Mercedes-Benz', 'C-Class', 'C63', 579990, 2017, 2744]
['Mercedes-Benz', 'C-Class', 'C200', 579950, 2017, 7000]
['Mercedes-Benz', 'C-Class', 'C200', 579950, 2013, 84000]
